"","ess first cp","mcse first cp","ess second cp","mcse second cp","ess third cp","mcse third cp"
"20000c1 Gibbs",146.99339656776,0.0817492150362251,NA,NA,NA,NA
"20000c1 MWG",3580.78416639703,0.0206710315409604,NA,NA,NA,NA
"50c1 Gibbs",147991.261047481,0.00369813110075994,NA,NA,NA,NA
"50c1 MWG",9602.11363348127,0.0146224324192021,NA,NA,NA,NA
"100c2 Gibbs",22051.6973484572,0.0135322008679224,30327.2224565855,0.000141682768308782,NA,NA
"100c2 MWG",4765.92925431841,0.0264128669688804,5089.27673421463,0.000337835576043823,NA,NA
"100c3 Gibbs",562.65968261464,0.0726851003348435,611.622946978317,0.0246479611681778,589.90599177485,0.0561352023698651
"100c3 MWG",3586.74427150581,0.0279000407550169,3600.90697396093,0.00849314024438388,3590.50666116275,0.0257714243087582
"60c3 Gibbs",4226.96988363684,0.016164140241443,NA,0,3587.56419427122,0.0222784820013043
"60c3 MWG",2065.7187600949,0.0168216709974999,NA,0,2104.75833606035,0.0254789199584311
