"","ess first cp","mcse first cp","ess second cp","mcse second cp","ess third cp","mcse third cp"
"20000c1 Gibbs",186.297340360586,0.0640312423742859,NA,NA,NA,NA
"20000c1 MWG",3835.6649485077,0.0148285525392633,NA,NA,NA,NA
"50c1 Gibbs",132440.476939971,0.00391615688486504,NA,NA,NA,NA
"50c1 MWG",6693.18559503179,0.0173524230930993,NA,NA,NA,NA
"100c2 Gibbs",19138.5811089151,0.0144358665542977,29939.3323705132,0.000139242428845557,NA,NA
"100c2 MWG",4235.24832261262,0.030287519146,4424.80156825807,0.000452728985703713,NA,NA
"100c3 Gibbs",374.760051829868,0.103069167883651,768.87027727588,0.0192663256925985,616.230189681677,0.0567184357735347
"100c3 MWG",4300.29583063786,0.0256992258101942,4329.4121127937,0.00799587536175249,4329.43136783431,0.0130502185934186
"60c3 Gibbs",NA,NA,NA,NA,NA,NA
"60c3 MWG",4259.68946010078,0.162529815534057,4261.81142419582,0.21769209029789,4263.91043073314,0.159979261248605
