"","ess first cp","mcse first cp","ess second cp","mcse second cp","ess third cp","mcse third cp"
"20000c1 Gibbs",194,0.0542225042739141,NA,NA,NA,NA
"20000c1 MWG",7427.74072777053,0.0629975372927991,NA,NA,NA,NA
"50c1 Gibbs",148129.082067576,0.00369641774873232,NA,NA,NA,NA
"50c1 MWG",8088.04364970783,0.0158676451178071,NA,NA,NA,NA
"100c2 Gibbs",23718.5338738514,0.0129625706450332,34521.4544671586,0.000168987656819322,NA,NA
"100c2 MWG",171.634700254762,0.155771475989781,2790.2221912516,0.00137646023443347,NA,NA
"100c3 Gibbs",308.570503021506,0.129953294937736,751.583985644423,0.0196204314981102,436.590137775981,0.0617578533017096
"100c3 MWG",65.1395598573318,0.344968914078212,65.63913749379,0.0921592026951488,55.5226331181594,0.159274979062105
"60c3 Gibbs",24.7005532278611,0.384429212575436,10.6817505398367,1.08990979664961,10.7044251346693,1.31161947886958
"60c3 MWG",27.7972981290062,0.741628433883201,3.82676530939112,3.94850162627925,2.0505444597225,5.60495886523115
