"","ess first cp","mcse first cp","ess second cp","mcse second cp","ess third cp","mcse third cp"
"20000c1 Gibbs",184.943546251895,0.0663214806830387,NA,NA,NA,NA
"20000c1 MWG",63281.0058437051,0.0178335735542047,NA,NA,NA,NA
"50c1 Gibbs",149768.865175832,0.00369094329893353,NA,NA,NA,NA
"50c1 MWG",9509.1456811973,0.0147068205733437,NA,NA,NA,NA
"100c2 Gibbs",2733.51178492227,0.0459847681587177,1046.50301021783,0.0285498710467648,NA,NA
"100c2 MWG",4757.20740151493,0.0289315543651108,10439.2477401639,0.000556340578479031,NA,NA
"100c3 Gibbs",448.70370021645,0.0858330295635867,1060.26201613792,0.0187276111343242,591.995083875559,0.0516570731288746
"100c3 MWG",3457.32059409407,0.138420819387603,3460.77011323867,0.14382386553826,3471.0804442812,0.149288441829623
"60c3 Gibbs",312.227954136637,0.148830106103796,193.659264747568,0.386190371753579,195.846252388667,0.428554248978296
"60c3 MWG",4335.10068917004,0.0686493366182363,4301.50282840092,0.0685766123153197,4332.97749598668,0.0153815240051319
