"","ess first cp","mcse first cp","ess second cp","mcse second cp","ess third cp","mcse third cp"
"20000c1 Gibbs",146.99339656776,0.0817492150362251,NA,NA,NA,NA
"20000c1 MWG",21774.1339832769,0.0367627377112512,NA,NA,NA,NA
"50c1 Gibbs",147991.261047481,0.00369813110075994,NA,NA,NA,NA
"50c1 MWG",9602.11363348127,0.0146224324192021,NA,NA,NA,NA
"100c2 Gibbs",22104.1386403787,0.0135137566105575,30413.0232718005,0.000141280178271513,NA,NA
"100c2 MWG",4793.82628441309,0.0268203459033414,12583.7481343159,0.000337178828316409,NA,NA
"100c3 Gibbs",561.075350055335,0.0727382951093152,632.080378349465,0.024077708532597,619.555530167666,0.0553071853152513
"100c3 MWG",3628.63562394488,0.0279631407911849,3667.50779156088,0.00859075052720247,3631.75278438928,0.025713488142357
"60c3 Gibbs",216.639922060204,0.23857190445257,205.910561364405,0.261505598205891,263.25474931201,0.179640982499398
"60c3 MWG",4291.36545390741,0.0575840762761289,4307.30232677021,0.0474638008019758,4369.36088541324,0.0257449973319374
