"","ess first cp","mcse first cp","ess second cp","mcse second cp","ess third cp","mcse third cp"
"20000c1 Gibbs",184.943546251895,0.0663214806830387,NA,NA,NA,NA
"20000c1 MWG",3617.29003796484,0.0145579985424561,NA,NA,NA,NA
"50c1 Gibbs",149768.865175832,0.00369094329893353,NA,NA,NA,NA
"50c1 MWG",9509.1456811973,0.0147068205733437,NA,NA,NA,NA
"100c2 Gibbs",23310.3188738858,0.0131055031850115,35248.791210765,0.000121680897337976,NA,NA
"100c2 MWG",4748.68906979796,0.0289443589010674,NA,0,NA,NA
"100c3 Gibbs",NA,NA,NA,NA,NA,NA
"100c3 MWG",3457.32059409407,0.138420819387603,3460.77011323867,0.14382386553826,3471.0804442812,0.149288441829623
"60c3 Gibbs",NA,NA,NA,NA,NA,NA
"60c3 MWG",4335.10068917004,0.0686493366182363,4301.50282840092,0.0685766123153197,4332.97749598668,0.0153815240051319
