"","ess first cp","mcse first cp","ess second cp","mcse second cp","ess third cp","mcse third cp"
"20000c1 Gibbs",122.758715805772,0.063593032344162,NA,NA,NA,NA
"20000c1 MWG",4092.83117072396,0.016537983829748,NA,NA,NA,NA
"50c1 Gibbs",176428.063399654,0.00339467450781965,NA,NA,NA,NA
"50c1 MWG",11065.5335993083,0.0135481477684511,NA,NA,NA,NA
"100c2 Gibbs",28773.7200899213,0.011772787300833,39806.542478643,0.000100929785756841,NA,NA
"100c2 MWG",4638.58449714219,0.0296406499095746,5799.60053315638,0.000199865365100637,NA,NA
"100c3 Gibbs",593.858121852681,0.0723982123529407,793.60178186663,0.0190496628478318,450.707598805251,0.0703473962775369
"100c3 MWG",5018.7671339683,0.0230501894666983,5038.38493757534,0.00748247584526726,5031.58122172435,0.0193203394742527
"60c3 Gibbs",1291.80468887194,0.029868323757977,1752.38257336097,0.000573999604720228,1397.26356239034,0.0380146809287465
"60c3 MWG",3149.02734006577,0.017043234237427,NA,0,3162.3635135651,0.0266055802518403
